DateTime,TSLA,HMC,HYMTF,CVX,TM,F,^GSPC,Sales,prediction_1,prediction_2,prediction_3
2017-03-31,18.553333282470703,26.450374603271484,43.04999923706055,82.9944076538086,108.62000274658203,8.733404159545898,2362.719970703125,9688.0,9688.0,9618.564669394393,9604.333333333334
2017-04-30,20.937999725341797,25.436418533325195,39.79999923706055,82.47650909423828,108.13999938964844,8.72183895111084,2384.199951171875,9706.0,9706.0,9566.78864890114,9639.617647058823
2017-05-31,22.733999252319336,24.413711547851562,46.0,80.80120086669922,107.54000091552734,8.455695152282715,2411.800048828125,9906.0,9906.0,9756.121610627784,9797.6
2017-06-30,24.107332229614258,23.941699981689453,48.349998474121094,81.46490478515625,105.0199966430664,8.508923530578613,2423.409912109375,9712.0,9712.0,9888.894492448893,9795.0
2017-07-31,21.564666748046875,24.492385864257812,45.400001525878906,85.259765625,112.83999633789062,8.641304016113281,2470.300048828125,9852.0,9852.0,9882.299330090207,9797.6
2017-08-31,23.726667404174805,24.562313079833984,41.75,84.87818145751953,112.9800033569336,8.494972229003906,2471.64990234375,9864.0,9864.0,9802.235087620462,9726.733333333334
2017-09-30,22.739999771118164,25.8385066986084,40.0,92.67037963867188,119.16999816894531,9.218931198120117,2519.360107421875,9567.0,9567.0,9828.422864314853,9672.714285714286
2017-10-31,22.101999282836914,27.17588233947754,45.25,91.4006118774414,124.0,9.5673246383667,2575.260009765625,10541.0,10541.0,9764.509387093323,10541.0
2017-11-30,20.59000015258789,29.142616271972656,43.0,94.72402954101562,126.33999633789062,9.762258529663086,2647.580078125,9475.0,9475.0,10065.612477971164,9575.666666666666
2017-12-31,20.75666618347168,29.954898834228516,44.400001525878906,99.6596450805664,127.16999816894531,9.73886775970459,2673.610107421875,9626.0,9626.0,9977.34022680093,9598.434782608696
2018-01-31,23.62066650390625,31.0184383392334,47.5,99.7870101928711,137.9199981689453,8.764315605163574,2823.81005859375,9542.0,9542.0,9660.557144679078,9700.576923076924
